[16:56:54] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:56:57] [main/INFO]: Reloading ResourceManager: Default
[16:56:58] [Worker-Main-4/INFO]: Loaded 7 recipes
[16:57:00] [Worker-Main-4/INFO]: Loaded 927 advancements
[16:57:03] [Server thread/INFO]: Starting minecraft server version 1.16.4
[16:57:03] [Server thread/INFO]: Loading properties
[16:57:03] [Server thread/INFO]: Default game type: SURVIVAL
[16:57:03] [Server thread/INFO]: Generating keypair
[16:57:03] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:57:03] [Server thread/INFO]: Using default channel type
[16:57:04] [Server thread/INFO]: Preparing level "world"
[16:57:18] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:57:18] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:57:18] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:57:19] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:57:19] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:57:20] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[16:57:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:57:21] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[16:57:21] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[16:57:22] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[16:57:22] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[16:57:23] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[16:57:23] [Worker-Main-5/INFO]: Preparing spawn area: 3%
[16:57:24] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[16:57:24] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[16:57:25] [Worker-Main-6/INFO]: Preparing spawn area: 6%
[16:57:25] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[16:57:26] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[16:57:26] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[16:57:27] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[16:57:27] [Worker-Main-6/INFO]: Preparing spawn area: 14%
[16:57:28] [Worker-Main-6/INFO]: Preparing spawn area: 14%
[16:57:28] [Worker-Main-5/INFO]: Preparing spawn area: 14%
[16:57:29] [Worker-Main-5/INFO]: Preparing spawn area: 14%
[16:57:29] [Worker-Main-6/INFO]: Preparing spawn area: 14%
[16:57:30] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[16:57:30] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[16:57:31] [Worker-Main-7/INFO]: Preparing spawn area: 22%
[16:57:31] [Worker-Main-5/INFO]: Preparing spawn area: 22%
